config,description,gain,phase_deg,mean_grad_mean,mean_grad_std,grad_min,grad_max,window_samples,elapsed_sec
none,No reinit (WENO5),0.0006228262245049606,0.4622646570581335,4.370722797340207,0.2065953935697181,1.372846515869096,17.935075757390578,201,28.63803458213806
fm_transient,"FM reinit (transient only, WENO5)",0.0006373925904499598,-19.788482365307164,2.408309316935433,0.20381801212064105,0.004960275267765709,45.43480780636574,201,27.80371594429016
pde_transient,"PDE reinit (transient only, WENO5)",nan,nan,nan,nan,nan,nan,0,25.68748903274536
fm_continuous,"FM reinit (continuous, WENO5)",0.0006444118745460186,-22.19360046061664,2.1565533777986516,0.044779158406775814,0.005207484347924258,45.59542393907699,201,30.29127335548401
upwind_rk2,"FM reinit (transient only, Upwind+RK2)",0.0006461000564167759,-7.218648878656727,2.5307249690832387,0.2912614700729111,0.0049731155170998,45.29822617468717,201,7.481910467147827
